model_id,auc,logloss,mean_per_class_error,rmse,mse
GLM_grid_1_AutoML_20190426_002850_model_1,0.7037050422028931,0.4259087150448904,0.4668125167719976,0.36364719295443865,0.1322392809436427
GBM_grid_1_AutoML_20190426_002850_model_7,0.6993330914773528,0.4470100653720183,0.4659883944640024,0.373640075499085,0.13960690601896195
GBM_grid_1_AutoML_20190426_002850_model_24,0.6956746539804234,0.4376954461748768,0.4719417127963904,0.3691518978516161,0.13627312368745004
GBM_grid_1_AutoML_20190426_002850_model_29,0.6949879175856484,0.4516259935343139,0.4785954785776863,0.3756836723988887,0.14113822170711554
GBM_grid_1_AutoML_20190426_002850_model_18,0.6849274233955268,0.43317893939195135,0.466418591117509,0.3666279740992801,0.13441607139214234
GBM_grid_1_AutoML_20190426_002850_model_11,0.6842641895121078,0.4325782003885608,0.473006884149303,0.366582556756592,0.13438277091819995
GBM_grid_1_AutoML_20190426_002850_model_30,0.6823643275986438,0.4428610715294307,0.4672724001593178,0.3715894309348346,0.13807870518247425
GBM_grid_1_AutoML_20190426_002850_model_27,0.6818210380387002,0.4392366044389921,0.4769009468239124,0.3700575169589536,0.13694256585782622
XRT_1_AutoML_20190426_002850,0.6788635179039049,0.4384878021360151,0.4616844921056469,0.3683796426006099,0.1357035610825531
GBM_grid_1_AutoML_20190426_002850_model_26,0.6783154716713045,0.4390697979391605,0.481536614769998,0.3696551011907705,0.13664489383635878
GBM_grid_1_AutoML_20190426_002850_model_22,0.675959351415408,0.4393002758574333,0.4782092674461614,0.3697517214287455,0.13671633549952064
DRF_1_AutoML_20190426_002850,0.6758972105287809,0.4744382758812289,0.4713761688036594,0.3686703816203183,0.1359178502840711
GBM_grid_1_AutoML_20190426_002850_model_12,0.6730838770338962,0.44165459987789263,0.4757642445399056,0.3695137072830784,0.13654037987008455
GBM_grid_1_AutoML_20190426_002850_model_21,0.6719418262331691,0.4409065120739108,0.4840641547127729,0.3693618774321627,0.13642819650021198
GBM_grid_1_AutoML_20190426_002850_model_6,0.6717859904032815,0.4387929648303064,0.4846673424539462,0.3688212849875969,0.13602914025990215
GBM_grid_1_AutoML_20190426_002850_model_25,0.6704923316216929,0.4656934732337816,0.4739958391389537,0.3813568672095207,0.14543306016786006
GBM_grid_1_AutoML_20190426_002850_model_3,0.6699048359682533,0.4655155930534206,0.4780479488386318,0.38128685773864,0.1453796678842059
GBM_grid_1_AutoML_20190426_002850_model_2,0.6670775352274765,0.4482363696439763,0.4699336722002278,0.3709673825176808,0.13761679889201928
GBM_5_AutoML_20190426_002850,0.6649168865435862,0.4492829439141368,0.4811588045361494,0.3720416895252375,0.13841501874479326
GBM_1_AutoML_20190426_002850,0.6641004636884514,0.4449246494745126,0.4850033084905144,0.3711896511622045,0.13778175712991905
GBM_grid_1_AutoML_20190426_002850_model_13,0.6612313557406483,0.4649836915829942,0.4789361300464221,0.3810789067975533,0.1452211332060183
GBM_grid_1_AutoML_20190426_002850_model_4,0.6611905856307418,0.4536166293384145,0.4804008413523682,0.3730895982281536,0.13919584830604506
GBM_grid_1_AutoML_20190426_002850_model_19,0.6609985404522595,0.4646648928851453,0.4840664974288568,0.3788495687932257,0.1435269957748131
GBM_grid_1_AutoML_20190426_002850_model_23,0.6602937569235823,0.4452458107934245,0.4796641640047246,0.3708981577184659,0.13756544339895205
GBM_grid_1_AutoML_20190426_002850_model_10,0.6585517872241241,0.4548603836123325,0.4843945064507961,0.3736480333127666,0.1396128527984983
GBM_2_AutoML_20190426_002850,0.6580819287983205,0.4494967578045192,0.4857788009446423,0.3725803964030955,0.1388161517838878
GBM_grid_1_AutoML_20190426_002850_model_20,0.6567538129101674,0.4657366413080112,0.49154648574256704,0.3777343105616998,0.1426832093755227
GBM_3_AutoML_20190426_002850,0.6564690797453376,0.4533299373147216,0.4849238205447915,0.3737515020238449,0.13969018526508012
GBM_grid_1_AutoML_20190426_002850_model_15,0.6487557240294483,0.4688037394174362,0.4822536626228756,0.37679763744461103,0.1419764595838405
GBM_4_AutoML_20190426_002850,0.6483618189251006,0.4638643549835761,0.4888178832194009,0.3764393525760072,0.14170658616784346
GBM_grid_1_AutoML_20190426_002850_model_28,0.6448927249481053,0.4691791820576435,0.4814131824025755,0.3775616310279266,0.1425527852244682
GBM_grid_1_AutoML_20190426_002850_model_9,0.6435749238607682,0.5095623126498002,0.5,0.3900444882629665,0.15213470282431946
GBM_grid_1_AutoML_20190426_002850_model_8,0.6289182207354661,1.0309426971292883,0.4972746690592949,0.4130476835174169,0.17060838885910418
GBM_grid_1_AutoML_20190426_002850_model_17,0.6264855443539751,0.631526228510616,0.4949425773983663,0.4006253157972636,0.16050064365765715
GBM_grid_1_AutoML_20190426_002850_model_14,0.6242454392345781,0.453095886037851,0.4971498228421657,0.3758419955999601,0.1412572056565604
GBM_grid_1_AutoML_20190426_002850_model_5,0.6212761370188932,0.5570239052493113,0.4925001396998591,0.3984820557000115,0.15878794871490706
GBM_grid_1_AutoML_20190426_002850_model_1,0.616651362017593,0.7913597406346196,0.4950828526614233,0.4163481972668088,0.17334582136732155
GBM_grid_1_AutoML_20190426_002850_model_16,0.5913405957970337,0.941910906809577,0.5,0.4320440641630538,0.18666207337852894
