model_id,auc,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20190422_233034,0.7091512460736968,0.42406780014768425,0.4653496631988057,0.3626243293009981,0.13149640420099876
StackedEnsemble_AllModels_AutoML_20190422_233034,0.7090414973602193,0.4241061429435374,0.4678970751280113,0.3626402322769178,0.13150793806585692
GLM_grid_1_AutoML_20190422_233034_model_1,0.7048241028757818,0.4253557312979096,0.4659519220736019,0.3634528522287032,0.13209797579317958
DeepLearning_1_AutoML_20190422_233034,0.7026192508384143,0.4266070693725963,0.4669118767041513,0.36424235815172296,0.13267249547192805
DeepLearning_grid_1_AutoML_20190422_233034_model_1,0.6909859200900147,0.4317911577526029,0.4636850606705103,0.3652124256178599,0.13338011582568082
DRF_1_AutoML_20190422_233034,0.6818507329925704,0.4457214816334453,0.47602702330400803,0.3672111214434803,0.13484400771177846
GBM_grid_1_AutoML_20190422_233034_model_2,0.6796422367301834,0.4548116608601938,0.4776500241266876,0.37691785032491104,0.142067065893552
XRT_1_AutoML_20190422_233034,0.6762897031534312,0.4370065585739804,0.4736916600606183,0.36829721928221054,0.13564284173100866
GBM_1_AutoML_20190422_233034,0.665209536992772,0.4446687515268291,0.4860637944112593,0.3710629532035488,0.137687715240139
GBM_2_AutoML_20190422_233034,0.6642603574861992,0.4472360155363845,0.4868944598841765,0.3720428457756379,0.13841587909283512
GBM_5_AutoML_20190422_233034,0.6629890312279342,0.4511882211081161,0.4906692906402015,0.3726390035645517,0.13885982697758192
DeepLearning_grid_1_AutoML_20190422_233034_model_2,0.6623172991761711,0.4731545521049738,0.4731593168758268,0.3765794373177523,0.14181207261055492
GBM_3_AutoML_20190422_233034,0.6582709339259314,0.4512018286363197,0.4942531160548832,0.37294588190946826,0.13908863083323106
GBM_4_AutoML_20190422_233034,0.6570779256253568,0.4571767233993216,0.4774171745880638,0.3744027923883376,0.14017745094818465
DeepLearning_grid_1_AutoML_20190422_233034_model_3,0.6455942040140958,0.4681983676171481,0.4784299595213185,0.3760583823551705,0.1414199069395876
GBM_grid_1_AutoML_20190422_233034_model_1,0.6298600076712855,0.7753653960295335,0.4960362641270506,0.4080753786545294,0.16652551466403756
