model_id,auc,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_BestOfFamily_AutoML_20190423_001614,0.7106889240805945,0.4235728626285335,0.4659804374493738,0.3625247841985472,0.1314242191582032
StackedEnsemble_AllModels_AutoML_20190423_001614,0.7103941281966792,0.4234633007358639,0.4603785141994817,0.3624773686963049,0.13138984281699692
GLM_grid_1_AutoML_20190423_001614_model_1,0.7048241028757818,0.4253557312979096,0.4659519220736019,0.3634528522287033,0.1320979757931796
DeepLearning_grid_1_AutoML_20190423_001614_model_1,0.6973232767190098,0.4285831068666316,0.4671671834369546,0.3647524206394313,0.13304432836232466
GBM_grid_1_AutoML_20190423_001614_model_4,0.6956528037004108,0.4345541878024364,0.4685989364266261,0.3679709696693415,0.13540263451939544
GBM_grid_1_AutoML_20190423_001614_model_1,0.6923022223870617,0.4365119984874948,0.4752604167308858,0.3687457328517468,0.13597341549637185
DeepLearning_1_AutoML_20190423_001614,0.6908125810199588,0.4304033923322265,0.46811942354454,0.3655745007818036,0.13364471562186492
GBM_grid_1_AutoML_20190423_001614_model_2,0.6886308232311442,0.43872614720766,0.4778024568532114,0.3699406423140637,0.13685607883574202
DRF_1_AutoML_20190423_001614,0.6838332873037574,0.4428644698301076,0.4628600094961379,0.3670419379201891,0.13471978419220798
DeepLearning_grid_1_AutoML_20190423_001614_model_4,0.6773768371271278,0.4363337181746117,0.4819328831405705,0.3678417582660699,0.13530755912427386
XRT_1_AutoML_20190423_001614,0.6772259949815239,0.4365851170252498,0.4744351230648487,0.3679922221785002,0.13541827558387065
GBM_grid_1_AutoML_20190423_001614_model_5,0.6748603805604455,0.4375906972281825,0.4674879629192597,0.368141546632024,0.1355281983566187
GBM_1_AutoML_20190423_001614,0.6687754920047648,0.4430141587252364,0.4788145554117539,0.3701388050850966,0.13700273502982316
GBM_5_AutoML_20190423_001614,0.6641995592087898,0.4501001538832037,0.4863829175521928,0.3721896148426847,0.138525109396746
GBM_2_AutoML_20190423_001614,0.6624736734197554,0.4483472620887095,0.4795316032646316,0.3720397295923394,0.138413560395141
GBM_4_AutoML_20190423_001614,0.6570339839436761,0.4578425988955067,0.4904993286433308,0.3744001095046875,0.14017544199712198
GBM_3_AutoML_20190423_001614,0.6561634854472861,0.4538738718136062,0.4847349154278672,0.37395623797234506,0.1398432679184292
DeepLearning_grid_1_AutoML_20190423_001614_model_2,0.6529123709268243,0.4426977721007745,0.4809995861530387,0.3711890134251418,0.13778128368753012
GBM_grid_1_AutoML_20190423_001614_model_3,0.6504713278978923,0.4722804933146448,0.4776834674262919,0.3766937607312009,0.14189818937381524
GBM_grid_1_AutoML_20190423_001614_model_6,0.6377199502835642,0.4642444000714812,0.4947812587908366,0.3807853267280254,0.14499746505136904
DeepLearning_grid_1_AutoML_20190423_001614_model_3,0.6096667636249724,0.4971440531882885,0.4825508135529594,0.3922175176320119,0.15383458113741752
