model_id,auc,logloss,mean_per_class_error,rmse,mse
GLM_grid_1_AutoML_20190426_004723_model_1,0.7037050422028931,0.4259087150448904,0.4668125167719976,0.36364719295443865,0.1322392809436427
GBM_grid_1_AutoML_20190426_004723_model_16,0.7004117601629312,0.4419367258746288,0.4722257773966302,0.3713532457830454,0.13790323315360292
GBM_grid_1_AutoML_20190426_004723_model_54,0.6965577935536005,0.4385884880432708,0.4707418804789656,0.3699939190379717,0.13689550012507715
GBM_grid_1_AutoML_20190426_004723_model_33,0.6960687906163606,0.42848659526631977,0.4707213221178226,0.3650149129359756,0.13323588666565786
GBM_grid_1_AutoML_20190426_004723_model_31,0.6959772931681868,0.4507063870214851,0.4718423528642367,0.3751317353308712,0.14072381885235086
GBM_grid_1_AutoML_20190426_004723_model_55,0.6947819791417822,0.434895632442675,0.4757177149104573,0.3679843571645932,0.1354124871178389
GBM_grid_1_AutoML_20190426_004723_model_20,0.6925855622523259,0.4492281457397053,0.4768899607184875,0.3745107115347891,0.140258273054294
GBM_grid_1_AutoML_20190426_004723_model_52,0.6923186542798746,0.4359402594994978,0.4739170375679431,0.3685384035998913,0.1358205549279564
GBM_grid_1_AutoML_20190426_004723_model_42,0.6912792966441855,0.4593487129587454,0.4652748606852506,0.3788186265258003,0.1435035518028938
GBM_grid_1_AutoML_20190426_004723_model_4,0.6908826378209323,0.43000812039498976,0.4714060980291379,0.36553014844552906,0.13361228942261053
GBM_grid_1_AutoML_20190426_004723_model_34,0.6907240373120638,0.4367151973853922,0.4733645799050561,0.3690878096255244,0.13622581121416732
GBM_grid_1_AutoML_20190426_004723_model_36,0.6902350973952565,0.4301754500022215,0.4676511392595436,0.3655612468337917,0.13363502518667636
GBM_grid_1_AutoML_20190426_004723_model_23,0.6891977564134126,0.4312184279792583,0.4656253269013693,0.36601987042196793,0.13397054554371424
GBM_grid_1_AutoML_20190426_004723_model_5,0.6889720528438493,0.4421035273765279,0.4766082388343316,0.3711181105477993,0.13772865197656853
GBM_grid_1_AutoML_20190426_004723_model_53,0.6856753882506644,0.4326353875018192,0.4796971223209994,0.3666448034768262,0.13442841191656052
