model_id,auc,logloss,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_AutoML_20190421_230946,0.7092192533405994,0.4232147409007817,0.4607219522673489,0.3623195566275039,0.13127546111475105
StackedEnsemble_BestOfFamily_AutoML_20190421_230946,0.7088773770834548,0.4237975554633353,0.4654522947134203,0.3624765421098437,0.1313892435799093
GLM_grid_1_AutoML_20190421_230946_model_1,0.7048241028757818,0.4253557312979096,0.4659519220736019,0.3634528522287033,0.1320979757931796
GBM_grid_1_AutoML_20190421_230946_model_4,0.7005677631339665,0.4361651301003285,0.4740075116190909,0.3685264146530942,0.13581171829706432
GBM_grid_1_AutoML_20190421_230946_model_3,0.6994632437409106,0.4477760128503739,0.4768303447591953,0.3739579033653559,0.1398445134894129
DeepLearning_1_AutoML_20190421_230946,0.6990553755006994,0.4272435861222543,0.4605950058258006,0.3636037328799509,0.13220767456423468
GBM_grid_1_AutoML_20190421_230946_model_5,0.6960708333003846,0.4378037537517638,0.4732829917349141,0.3691908811489256,0.13630190672352008
GBM_grid_1_AutoML_20190421_230946_model_2,0.6960108679886939,0.4378525128694564,0.4683504153504096,0.3692965116024786,0.13637991348175965
DRF_1_AutoML_20190421_230946,0.6820354993110798,0.4433760697847692,0.4777238977738657,0.3674589053257418,0.1350260471031925
DeepLearning_grid_1_AutoML_20190421_230946_model_1,0.6763440089562667,0.4405894186182816,0.4742373320669186,0.3677371596172655,0.1352306185633742
GBM_grid_1_AutoML_20190421_230946_model_1,0.6758770070000739,0.4658437221717841,0.4798759701988759,0.3814165605740119,0.14547859268010888
XRT_1_AutoML_20190421_230946,0.6754849472983959,0.4379303914784057,0.4685028480769334,0.3686067531201853,0.1358709384458052
GBM_5_AutoML_20190421_230946,0.6667318681543062,0.4492360849641631,0.4880765204395896,0.3722239040505345,0.1385506347466215
GBM_1_AutoML_20190421_230946,0.6657178447325487,0.4437607127286122,0.4838663637148427,0.3707018031665396,0.13741982687092388
GBM_2_AutoML_20190421_230946,0.6610304068710378,0.4485474234107131,0.4855379943913897,0.37222059717153005,0.1385481729587304
GBM_3_AutoML_20190421_230946,0.6610245747409974,0.44902359666383707,0.4786754515067388,0.3721701282927181,0.13851060439341822
GBM_4_AutoML_20190421_230946,0.6594977513186218,0.45408809482537704,0.4893181969542948,0.3734217421610179,0.13944379751856975
